seed,scenario,balanced,baseline,winner,cost_gap_balanced_minus_baseline
0,high_incentive,54180.0,52800.0,baseline,1380.0
0,low_incentive,20640.0,20700.0,balanced,-60.0
0,medium_incentive,35160.0,35160.0,baseline,0.0
1,high_incentive,60240.0,59940.0,baseline,300.0
1,low_incentive,23400.0,23880.0,balanced,-480.0
1,medium_incentive,38760.0,38400.0,baseline,360.0
2,high_incentive,52260.0,53160.0,balanced,-900.0
2,low_incentive,20730.0,22050.0,balanced,-1320.0
2,medium_incentive,33600.0,33780.0,balanced,-180.0
3,high_incentive,58560.0,55500.0,baseline,3060.0
3,low_incentive,22050.0,21300.0,baseline,750.0
3,medium_incentive,36180.0,36900.0,balanced,-720.0
4,high_incentive,55200.0,55740.0,balanced,-540.0
4,low_incentive,24150.0,24240.0,balanced,-90.0
4,medium_incentive,38100.0,38100.0,baseline,0.0
5,high_incentive,54480.0,54240.0,baseline,240.0
5,low_incentive,21570.0,20190.0,baseline,1380.0
5,medium_incentive,34140.0,34140.0,baseline,0.0
6,high_incentive,55920.0,57000.0,balanced,-1080.0
6,low_incentive,24390.0,24660.0,balanced,-270.0
6,medium_incentive,38520.0,37680.0,baseline,840.0
7,high_incentive,51900.0,51000.0,baseline,900.0
7,low_incentive,22110.0,21270.0,baseline,840.0
7,medium_incentive,36480.0,35580.0,baseline,900.0
8,high_incentive,61080.0,61200.0,balanced,-120.0
8,low_incentive,26010.0,25860.0,baseline,150.0
8,medium_incentive,40020.0,39840.0,baseline,180.0
9,high_incentive,57900.0,55620.0,baseline,2280.0
9,low_incentive,20040.0,21300.0,balanced,-1260.0
9,medium_incentive,38160.0,38160.0,baseline,0.0
42,high_incentive,58260.0,59100.0,balanced,-840.0
42,low_incentive,21450.0,21330.0,baseline,120.0
42,medium_incentive,35520.0,35460.0,baseline,60.0
100,high_incentive,58020.0,59100.0,balanced,-1080.0
100,low_incentive,23490.0,23550.0,balanced,-60.0
100,medium_incentive,35940.0,35820.0,baseline,120.0
123,high_incentive,55620.0,55080.0,baseline,540.0
123,low_incentive,22500.0,22830.0,balanced,-330.0
123,medium_incentive,36480.0,36000.0,baseline,480.0
777,high_incentive,52860.0,50040.0,baseline,2820.0
777,low_incentive,21270.0,20970.0,baseline,300.0
777,medium_incentive,34680.0,34440.0,baseline,240.0
2024,high_incentive,56760.0,53820.0,baseline,2940.0
2024,low_incentive,21090.0,21120.0,balanced,-30.0
2024,medium_incentive,34560.0,35640.0,balanced,-1080.0
