seed,model,selection_type,scenario,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,total_cost
42,baseline,max_f1,not_applicable,0.37,0.7714691270404542,0.555793991416309,0.6925133689839572,0.6166666666666667,0.8426464129788939,0.6318877032614234,
42,baseline,cost_based,low_incentive,0.06,0.552874378992193,0.370182555780933,0.9759358288770054,0.5367647058823529,0.8426464129788939,0.6318877032614234,21330.0
42,baseline,cost_based,medium_incentive,0.15,0.6685592618878637,0.4403080872913992,0.9171122994652406,0.5949696444058976,0.8426464129788939,0.6318877032614234,35460.0
42,baseline,cost_based,high_incentive,0.31,0.7558552164655784,0.5288461538461539,0.7352941176470589,0.6152125279642058,0.8426464129788939,0.6318877032614234,59100.0
42,balanced,max_f1,not_applicable,0.62,0.7700496806245565,0.5534188034188035,0.6925133689839572,0.6152019002375297,0.8422459893048129,0.6308756530138517,
42,balanced,cost_based,low_incentive,0.16,0.5564229950319376,0.3718079673135853,0.9732620320855616,0.5380635624538064,0.8422459893048129,0.6308756530138517,21450.0
42,balanced,cost_based,medium_incentive,0.32,0.6621717530163236,0.4356060606060606,0.9224598930481284,0.5917667238421955,0.8422459893048129,0.6308756530138517,35520.0
42,balanced,cost_based,high_incentive,0.57,0.7608232789212207,0.5360623781676414,0.7352941176470589,0.6200676437429538,0.8422459893048129,0.6308756530138517,58260.0
0,baseline,max_f1,not_applicable,0.34,0.7792760823278921,0.5649484536082474,0.732620320855615,0.6379511059371362,0.8526905887519698,0.655643231016081,
0,baseline,cost_based,low_incentive,0.07,0.5805535841022001,0.3849416755037115,0.9705882352941176,0.55125284738041,0.8526905887519698,0.655643231016081,20700.0
0,baseline,cost_based,medium_incentive,0.19,0.7061745919091554,0.4715099715099715,0.8850267379679144,0.6152416356877324,0.8526905887519698,0.655643231016081,35160.0
0,baseline,cost_based,high_incentive,0.28,0.7643718949609652,0.5373665480427047,0.8074866310160428,0.6452991452991453,0.8526905887519698,0.655643231016081,52800.0
0,balanced,max_f1,not_applicable,0.53,0.7636621717530163,0.5373406193078324,0.7887700534759359,0.6392199349945829,0.8519104084321475,0.6534988385873481,
0,balanced,cost_based,low_incentive,0.19,0.5883605393896381,0.3892473118279569,0.9679144385026738,0.5552147239263804,0.8519104084321475,0.6534988385873481,20640.0
0,balanced,cost_based,medium_incentive,0.33,0.6721078779276083,0.4431524547803617,0.9171122994652406,0.5975609756097561,0.8519104084321475,0.6534988385873481,35160.0
0,balanced,cost_based,high_incentive,0.53,0.7636621717530163,0.5373406193078324,0.7887700534759359,0.6392199349945829,0.8519104084321475,0.6534988385873481,54180.0
1,baseline,max_f1,not_applicable,0.34,0.7636621717530163,0.5422680412371134,0.7032085561497327,0.6123399301513388,0.8362189671652588,0.6571524043579684,
1,baseline,cost_based,low_incentive,0.06,0.5564229950319376,0.3694068678459937,0.9491978609625668,0.5318352059925093,0.8362189671652588,0.6571524043579684,23880.0
1,baseline,cost_based,medium_incentive,0.17,0.6763662171753017,0.4444444444444444,0.8770053475935828,0.5899280575539568,0.8362189671652588,0.6571524043579684,38400.0
1,baseline,cost_based,high_incentive,0.34,0.7636621717530163,0.5422680412371134,0.7032085561497327,0.6123399301513388,0.8362189671652588,0.6571524043579684,59940.0
1,balanced,max_f1,not_applicable,0.6,0.765791341376863,0.5460251046025104,0.6978609625668449,0.6126760563380281,0.8355007879304555,0.653575024604371,
1,balanced,cost_based,low_incentive,0.16,0.5677785663591199,0.3756613756613756,0.9491978609625668,0.5382865807429871,0.8355007879304555,0.653575024604371,23400.0
1,balanced,cost_based,medium_incentive,0.37,0.6777856635911994,0.4453551912568306,0.8716577540106952,0.5895117540687161,0.8355007879304555,0.653575024604371,38760.0
1,balanced,cost_based,high_incentive,0.58,0.7608232789212207,0.5376782077393075,0.7058823529411765,0.6104046242774567,0.8355007879304555,0.653575024604371,60240.0
2,baseline,max_f1,not_applicable,0.28,0.7622427253371186,0.5345132743362832,0.8074866310160428,0.6432374866879659,0.8565204474411636,0.6651039771024183,
2,baseline,cost_based,low_incentive,0.05,0.5102909865152591,0.3500948766603415,0.9866310160427808,0.5168067226890757,0.8565204474411636,0.6651039771024183,22050.0
2,baseline,cost_based,medium_incentive,0.13,0.6458481192334989,0.4256837098692033,0.9572192513368984,0.5893004115226338,0.8565204474411636,0.6651039771024183,33780.0
2,baseline,cost_based,high_incentive,0.28,0.7622427253371186,0.5345132743362832,0.8074866310160428,0.6432374866879659,0.8565204474411636,0.6651039771024183,53160.0
2,balanced,max_f1,not_applicable,0.52,0.7643718949609652,0.5369718309859155,0.8155080213903744,0.6475583864118896,0.8568304528662586,0.6663900198502165,
2,balanced,cost_based,low_incentive,0.17,0.5479063165365508,0.3683683683683684,0.983957219251337,0.5360524399126001,0.8568304528662586,0.6663900198502165,20730.0
2,balanced,cost_based,medium_incentive,0.3,0.6479772888573456,0.4272076372315035,0.9572192513368984,0.5907590759075908,0.8568304528662586,0.6663900198502165,33600.0
2,balanced,cost_based,high_incentive,0.52,0.7643718949609652,0.5369718309859155,0.8155080213903744,0.6475583864118896,0.8568304528662586,0.6663900198502165,52260.0
